Chicago Board of Trade	;.CBT		
Chicago Mercantile Exchange	;.CME		
Dow Jones Indexes	;N/A	
NASDAQ Stock Exchange ;N/A	
New York Board of Trade	;.NYB		
New York Commodities Exchange	;.CMX		
New York Mercantile Exchange	;.NYM		
New York Stock Exchange	;N/A		
NYSE Mkt	;N/A		
OPRA	;N/A		
OTC Bulletin Board Market	;N/A		
OTC Markets Group	;N/A		
S & P Indices	;N/A	
Buenos Aires Stock Exchange	;.BA		
Vienna Stock Exchange	;.VI		
Australian Stock Exchange	;.AX		
NYSE Euronext - Brussels	;.BR		
BOVESPA - Sao Paolo Stock Exchange	;.SA		
TSX Venture Exchange	;.V		
Toronto Stock Exchange	;.TO		
Santiago Stock Exchange	;.SN		
Shanghai Stock Exchange	;.SS		
Shenzhen Stock Exchange	;.SZ		
Prague Stock Exchange Index	;.PR		
Copenhagen Stock Exchange	;.CO		
Egyptian Exchange Index	;.CA		
Nasdaq OMX Tallinn	;.TL		
Nasdaq OMX Helsinki	;.HE		
Euronext	;.NX		
NYSE Euronext – Paris	;.PA		
Berlin Stock Exchange	;.BE		
Bremen Stock Exchange	;.BM		
Dusseldorf Stock Exchange	;.DU		
Frankfurt Stock Exchange	;.F		
Hamburg Stock Exchange	;.HM		
Hanover Stock Exchange	;.HA		
Munich Stock Exchange	;.MU		
Stuttgart Stock Exchange	;.SG		
XETRA Stock Exchange	;.DE		
Athens Stock Exchange	;.AT		
Hong Kong Stock Exchange	;.HK		
Nasdaq OMX Iceland	;.IC		
Bombay Stock Exchange	;.BO		
National Stock Exchange of India	;.NS		
Jakarta Stock Exchange	;.JK		
Irish Stock Exchange	;.IR		
Tel Aviv Stock Exchange	;.TA		
EuroTLX	;.TI		
Milan Stock Exchange	;.MI		
Nikkei Indices	;N/A		
Nasdaq OMX Riga	;.RG		
Nasdaq OMX Vilnius	;.VS		
Bursa Malaysia	;.KL		
Mexico Stock Exchange	;.MX		
NYSE Euronext – Amsterdam	;.AS		
New Zealand Stock Exchange	;.NZ		
Oslo Stock Exchange	;.OL		
NYSE Euronext – Lisbon	;.LS		
Qatar Stock Exchange	;.QA		
Moscow Interbank Currency Exchange (MICEX)	;.ME		
Singapore Stock Exchange	;.SI		
Korea Stock Exchange	;.KS		
KOSDAQ	;.KQ		
Barcelona Stock Exchange	;.BC		
Bilbao Stock Exchange	;.BI		
Madrid Fixed Income Market	;.MF		
Madrid SE C;.A;.T;.S;.	;.MC		
Madrid Stock Exchange	;.MA		
Valencia Stock Exchange	;.VA		
Stockholm Stock Exchange	;.ST		
Swiss Exchange	;.SW		
Taiwan OTC Exchange	;.TWO		
Taiwan Stock Exchange	;.TW		
Stock Exchange of Thailand (SET)	;.BK		
Borsa Istanbul	;.IS		
FTSE Indices	;N/A		
London Stock Exchange	;.L		
London Stock Exchange	;.IL		
Caracas Stock Exchange	;.CR
